runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
272,A05,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
781,A07,0.0588,2080000,0.0000001,10000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
16736,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
241,A06,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
2801,A08,0.2,300000,0.000001,3000,3,1,1,10,2,4,6,8,10,12,14,16,18,20
184,A04,0.2,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
990,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
125,A04,0.2,3000000,0.000001,3000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
141,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,18
27956,A12,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
11738,A06,0.1,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
15522,A06,0.3,240000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
