runtime,in01,in02,in03,in04
7100,38.7,0,0,50
2047,18,60,0,26
3545,39,45,0,45
1623,38,5,0,-13
2432,37.71,82.67,12.67,84.08
1988,36,180,90,172
2662,37.4,8,0,-49.5
517,37,0,0,0
13514,38.7,180,90,-165
3072,38.7,82.69,12.69,81
4876,37.8,0,0,-51.2
4035,38.7,100,12.69,84.1
130,35,180,-10,-10
19664,38.7,90,50,113
4588,37.65,0,0,-56.5
408,37.8,0,0,-49.5
1280,38.5,90,0,110
3631,38,70,12.69,84.1
71,3,82,19,8
4593,38.7,90,0,102.4
5555,38,0,90,0
4337,38,80,12,63
4460,38.053,-90,0,90
6267,39,-45,0,-62
5163,37.7,45,0,17
1441,29,90,0,84.1
1228,37,82,12.69,84.1
4428,37.8,82.69,12.69,74.5
11737,38,90,0,165
2225,38.7,90,0,102
2498,39,105,0,100
1313,38.2,90,0,99
4764,27,0,0,-90
923,38,90,0,105
778,39,102,0,124
760,39,-30,0,-87
9338,37,82.69,12.69,73.1
4431,38.9,90,0,100.4
1225,38.7,82.69,12.69,69.9
680,38.1,70,0,60.12
4279,33,80,0,0
947,39,45,0,55
1239,38.575,90,0,97.05
1002,36.7,82.69,12.69,84.1
4839,37.75,82.69,12.69,84.1
2957,16,90,0,90
10043,38.7,60,0,40
6735,38.7,48,0,33
8571,38.7,48,0,29.1
2895,39,40,0,20
2146,38.7,82.69,12.69,84.2
776,38,45,0,24.5
1186,38.7,45,12.69,84.1
1088,39,113,0,90
759,39,-45,0,-102.4
4034,38,0,0,-44
2838,30,90,0,160
1657,38.056,-90,0,101.9558753
948,17,80,0,84.1
1237,38.2,90,12.69,87.19
3589,39,-60,0,-132
4520,35,120,13,123
4997,38.7,180,90,-130
1136,38.3,70,0,62.5
7600,16.5,80,-50,75
1208,38.7,90,0,0
1908,38.3,90,0,103.1
880,38.7,82.69,12.69,75
921,38.5,75,0,60
4451,39,90,12.69,84.1
776,37.9,30,0,-5.2
5307,25,65,12.69,84.1
762,38.7,82.69,12.69,77
1622,35,90,0,0
3894,38.7,82.69,0,86.73
4871,37.98,45,0,17.42
3248,37.85,90,12.69,84.1
2582,38.7,82.69,6,84.1
11693,38.1,88,8.4,84.7
3759,37.9,60,0,40
18485,38.5,90,0,102.077
8232,38.1,88.5,12.69,82
4425,39,-50,0,50
4091,38,66,0,55
5515,32,0,90,0
1150,38,-52,0,-148
1331,38.2,82.69,12.69,84.1
1000,39,50,12.69,84.1
1343,28,90,0,96.71
11776,35,82.69,12.69,84.1
2174,38.5,75,15,80
664,37.78,0,0,-50.3074
1204,39,-25,0,-77.5
902,37.86,-120,0,59
2274,38.9,60,0,-30
1730,39,-90,0,163
25904,38.9,90,0,101
1166,37.76,30.1,0,-9
7874,38,82.69,12.69,73
3080,38.1,65,0,60
2009,30,90,0,35
1042,37.7,0,0,-56.1
3894,38.7,82.69,12.69,84.1
6796,37.95,-120,0,50.85
2915,38.7,32.3,0,6.8
2125,37.95,-118,0,46.77
