runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
4,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,10000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
47,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,1000,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,227,30,450,600,0.1,-73,-10,1.8,current
959,100000,0,tn2006,N588K,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
43,100000,0,tn2006,S140G,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,N588K,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,220,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,260,20,1000,600,0.1,-73,-10,1.8,current
97,40000,0,tn2006,ori,1,0.05,20,1000,30,50,600,0.1,-73,-10,1.8,current
66,40000,0,tn2006,ori,1,0.05,30,1000,30,88000010,700,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,20,10000,600,0.1,-73,-10,1.8,current
31,100000,0,tn2006,ori,2,0.05,30,1000,30,200,600,0.1,-73,-10,1.8,current
3,100000,0,tn2006,ori,2,0.05,20,200,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,G229D,1,0.05,30,260,20,1000,600,0.1,-73,-10,1.8,current
49,100000,0,tn2006,N588K,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
75,40000,0,tn2006,V241F,1,0.02,20,1000,30,88000010,600,1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
